Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Saim Ayub*,Saim Ayub,24/05/2002,2023-,27,25,498,0,98,21.65,0,0,-,8.80,0/7,Pak,W
Salman Agha*,Salman Agha,23/11/1993,2024-,11,10,217,0,51,24.11,2,0,19.50,6.50,1/7,Pak,W
Salman Butt,Salman Butt,07/10/1984,2007-2010,24,23,595,0,74*,28.33,0,0,-,-,,Pak,W
Sarfaraz Ahmed*,Sarfaraz Ahmed,22/05/1987,2010-2021,61,42,818,0,89,27.27,0,0,-,-,,Pak,W
Shabbir Ahmed,Shabbir Ahmed,21/04/1976,2007-2007,1,0,0,0,0*,0.00,0,0,-,9.50,0/19,Pak,W
Shadab Khan*,Shadab Khan,04/10/1998,2017-,109,56,737,0,52*,17.55,108,3,24.61,7.36,4/8,Pak,W
Shaheen Shah Afridi*,Shaheen Shah Afridi,06/04/2000,2018-,79,27,211,0,23,12.41,102,2,22.13,7.90,4/22,Pak,W
Shahid Afridi,Shahid Afridi,01/03/1980,2006-2016,98,90,1405,0,54,18.01,97,3,24.35,6.61,4/11,Pak,W
Shahnawaz Dahani*,Shahnawaz Dahani,05/08/1998,2021-,11,1,16,0,16*,16.00,8,0,40.00,9.06,2/37,Pak,W
Shahzaib Hasan,Shahzaib Hasan,25/12/1989,2009-2010,10,10,116,0,35*,11.60,0,0,-,-,,Pak,W
Shakeel Ansar,Shakeel Ansar,11/11/1978,2012-2012,2,1,0,0,0*,0.00,0,0,-,-,,Pak,W
Shan Masood*,Shan Masood,14/10/1989,2022-,19,17,395,0,65,30.38,0,0,-,-,,Pak,W
Sharjeel Khan,Sharjeel Khan,14/08/1989,2013-2021,21,18,406,0,59*,22.56,0,0,-,-,,Pak,W
Shoaib Akhtar,Shoaib Akhtar,13/08/1975,2006-2010,15,6,21,0,8,7.00,19,0,22.74,8.15,3/38,Pak,W
Shoaib Khan,Shoaib Khan,13/04/1985,2008-2008,4,4,65,0,50*,16.25,0,0,-,-,,Pak,W
Shoaib Malik,Shoaib Malik,01/02/1982,2006-2021,123,110,2423,0,75*,31.47,27,0,23.85,7.00,2/7,Pak,W
Sohaib Maqsood,Sohaib Maqsood,15/04/1987,2013-2021,26,22,273,0,37*,13.65,0,0,-,12.00,0/12,Pak,W
Sohail Khan,Sohail Khan,06/03/1984,2008-2017,5,1,1,0,1,0.00,5,0,24.60,8.20,2/13,Pak,W
Sohail Tanvir,Sohail Tanvir,12/12/1984,2007-2017,57,25,196,0,41*,11.53,54,0,26.93,7.19,3/12,Pak,W
Sufiyan Muqeem*,Sufiyan Muqeem,,2023-,10,6,8,0,5,2.00,18,1,10.67,6.06,5/3,Pak,W
Tanvir Ahmed,Tanvir Ahmed,20/12/1978,2010-2010,1,0,0,0,0*,0.00,1,0,13.00,4.33,1/13,Pak,W
Tayyab Tahir*,Tayyab Tahir,26/07/1993,2023-,8,7,123,0,39,20.50,0,0,-,-,,Pak,W
Umar Akmal,Umar Akmal,26/05/1990,2009-2019,84,79,1690,0,94*,26.00,0,0,-,7.67,0/23,Pak,W
Umar Amin,Umar Amin,16/10/1989,2013-2018,14,9,142,0,47*,15.78,0,0,-,-,,Pak,W
Umar Gul,Umar Gul,14/04/1984,2007-2016,60,27,165,0,32*,9.17,85,6,16.98,7.02,5/6,Pak,W
Usama Mir*,Usama Mir,23/12/1995,2024-,5,4,7,0,5*,2.33,5,0,35.00,8.75,2/21,Pak,W
Usman Khan*,Usman Khan,10/05/1995,2024-,19,17,239,0,52*,14.94,0,0,-,-,,Pak,W
Usman Qadir*,Usman Qadir,10/08/1993,2020-,25,9,36,0,18,9.00,31,1,18.48,7.96,4/13,Pak,W
Usman Shinwari,Usman Shinwari,05/01/1994,2013-2019,16,3,2,0,2,0.00,13,0,32.62,8.31,3/31,Pak,W
Wahab Riaz,Wahab Riaz,28/06/1985,2008-2020,36,18,154,0,30,14.00,34,0,28.56,8.21,3/18,Pak,W
Waqas Maqsood,Waqas Maqsood,04/11/1987,2018-2018,1,0,0,0,0*,0.00,2,0,10.50,11.45,2/21,Pak,W
Yasir Arafat,Yasir Arafat,12/03/1982,2007-2012,13,11,92,0,17*,13.14,16,0,19.75,8.03,3/18,Pak,W
Yasir Shah*,Yasir Shah,02/05/1986,2011-2011,2,1,11,0,11,0.00,0,0,-,9.75,0/8,Pak,W
Younis Khan,Younis Khan,29/11/1977,2006-2010,25,23,442,0,51*,22.10,3,0,6.00,4.91,3/18,Pak,W
Zahid Mahmood*,Zahid Mahmood,20/03/1988,2021-2021,1,0,0,0,0*,0.00,3,0,13.33,10.00,3/40,Pak,W
Zaman Khan*,Zaman Khan,10/09/2001,2023-,10,2,8,0,8,0.00,7,0,33.71,7.49,1/4,Pak,W
Zulfiqar Babar,Zulfiqar Babar,10/12/1978,2013-2014,7,3,27,0,13,0.00,12,0,15.42,7.12,3/23,Pak,W
Zulqarnain Haider,Zulqarnain Haider,03/04/1986,2007-2010,3,3,23,0,17*,7.67,0,0,-,-,,Pak,W
Total Players = 121,,,,,,,,,,,,,,,Pak,W
