Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
R N Lewis,Rawl Lewis,05/09/1974,2008-2008,1,1,0,0,0*,0.00,0,0,-,9.00,0/9,WIN,W
X M Marshall,Xavier Marshall,27/03/1986,2008-2009,6,6,96,0,36*,16.00,0,0,-,-,,WIN,W
A Martin,Anthony Martin,18/11/1982,2011-2011,1,0,0,0,0*,0.00,1,0,20.00,6.67,1/20,WIN,W
G E Mathurin,Garey Mathurin,23/09/1983,2011-2012,3,2,4,0,3,0.00,4,0,16.25,6.50,3/9,WIN,W
K R Mayers*,Kyle Mayers,08/09/1992,2020-,38,37,762,0,73*,21.77,0,0,-,9.50,0/4,WIN,W
A M McCarthy,Andre McCarthy,08/06/1987,2018-2018,1,1,5,0,5*,5.00,0,0,-,6.00,0/12,WIN,W
O C McCoy*,Obed McCoy,04/01/1997,2019-,42,13,68,0,23,9.71,52,3,22.40,8.72,6/17,WIN,W
N O Miller,Nikita Miller,16/05/1982,2009-2014,9,5,43,0,15,43.00,11,0,20.36,7.07,2/20,WIN,W
J N Mohammed,Jason Mohammed,23/09/1986,2017-2018,9,8,90,0,23,18.00,0,0,-,6.50,0/5,WIN,W
R S Morton,Runako Morton,22/07/1978,2006-2010,7,7,96,0,40*,16.00,0,0,-,-,,WIN,W
S P Narine,Sunil Narine,26/05/1988,2012-2019,51,23,155,0,30*,10.33,52,1,21.25,6.02,4/12,WIN,W
A R Nurse,Ashley Nurse,22/12/1988,2011-2019,13,8,85,0,20,42.50,8,0,39.75,7.95,2/6,WIN,W
B A Parchment,Brenton Parchment,24/06/1982,2007-2007,1,1,10,0,10*,10.00,0,0,-,-,,WIN,W
K M A Paul*,Keemo Paul,21/02/1998,2018-,23,16,187,0,29*,20.78,25,1,28.00,9.09,5/15,WIN,W
W K D Perkins,William Perkins,08/10/1986,2008-2008,1,1,9,0,9*,9.00,0,0,-,-,,WIN,W
V Permaul,Veerasammy Permaul,11/08/1989,2018-2018,1,0,0,0,0*,0.00,0,0,-,16.00,0/8,WIN,W
K Pierre,Khary Pierre,22/09/1991,2018-2020,10,5,17,0,9,8.50,7,0,38.43,9.61,2/44,WIN,W
K A Pollard,Kieron Pollard,12/05/1987,2008-2022,101,83,1569,0,75,25.31,42,1,28.29,8.33,4/25,WIN,W
N Pooran*,Nicholas Pooran,02/10/1995,2016-,106,97,2275,0,98*,26.15,0,0,-,-,,WIN,W
D B Powell,Daren Powell,15/04/1978,2007-2007,5,1,1,0,1,0.00,2,0,65.50,7.71,1/6,WIN,W
K O A Powell,Kieran Powell,06/03/1990,2014-2014,1,1,12,0,12*,12.00,0,0,-,-,,WIN,W
R Powell*,Rovman Powell,23/07/1993,2017-,91,79,1747,1,107*,25.69,5,0,47.20,10.34,2/31,WIN,W
D Ramdin,Denesh Ramdin,13/10/1985,2006-2019,71,50,636,0,55,18.71,0,0,-,-,,WIN,W
R Rampaul,Ravi Rampaul,15/10/1984,2007-2021,27,7,15,0,8*,7.50,31,0,25.90,8.38,3/16,WIN,W
F L Reifer,Floyd Reifer,23/07/1972,2009-2009,1,1,22,0,22*,22.00,0,0,-,-,,WIN,W
R A Reifer*,Raymon Reifer,11/05/1991,2022-,3,2,46,0,27*,23.00,1,0,60.00,12.00,1/42,WIN,W
A C L Richards,Austin Richards,14/11/1983,2007-2007,1,1,10,0,10*,10.00,0,0,-,-,,WIN,W
D M Richards,Dale Richards,16/07/1976,2009-2009,1,1,0,0,0*,0.00,0,0,-,-,,WIN,W
K A J Roach*,Kemar Roach,30/06/1988,2008-2012,11,1,3,0,3,0.00,10,0,28.40,7.28,2/25,WIN,W
A D Russell*,Andre Russell,29/04/1988,2011-,83,72,1063,0,71*,22.15,60,0,30.68,9.27,3/19,WIN,W
S E Rutherford*,Sherfane Rutherford,15/08/1998,2018-,28,23,428,0,68,25.18,1,0,72.00,10.29,1/21,WIN,W
D J G Sammy,Daren Sammy,20/12/1983,2007-2016,66,50,534,0,42,15.71,44,2,24.27,7.28,5/26,WIN,W
M N Samuels,Marlon Samuels,05/02/1981,2007-2018,67,65,1611,0,89,29.29,22,0,28.27,7.79,3/23,WIN,W
K Santokie,Krishmar Santokie,20/12/1984,2011-2014,12,1,0,0,0,0.00,18,1,15.44,6.81,4/21,WIN,W
R R Sarwan,Ramnaresh Sarwan,23/06/1980,2007-2010,18,16,298,0,59*,22.92,2,0,5.00,5.00,2/10,WIN,W
J N T Seales*,Jayden Seales,10/09/2001,2024-2024,1,1,4,0,4,0.00,0,0,-,9.00,0/18,WIN,W
R Shepherd*,Romario Shepherd,26/11/1994,2020-,53,34,537,0,44,26.85,56,1,27.54,9.80,4/31,WIN,W
L M P Simmons,Lendl Simmons,25/01/1985,2007-2021,68,67,1527,0,91,26.79,6,1,12.00,10.05,4/19,WIN,W
K Sinclair*,Kevin Sinclair,23/11/1999,2021-2021,6,2,3,0,3*,3.00,4,0,37.50,8.33,2/23,WIN,W
D R Smith,Dwayne Smith,12/04/1983,2006-2015,33,32,582,0,72*,18.19,7,0,30.29,8.96,3/24,WIN,W
D S Smith,Devon Smith,21/10/1981,2007-2009,6,6,203,0,61*,33.83,0,0,-,-,,WIN,W
O F Smith*,Odean Smith,01/11/1996,2018-,27,20,193,0,27,14.85,27,0,28.52,10.27,3/29,WIN,W
S K Springer*,Shamar Springer,26/11/1997,2024-,2,1,7,0,7*,7.00,2,0,24.50,12.25,1/24,WIN,W
J E Taylor,Jerome Taylor,22/06/1984,2006-2018,30,15,118,0,21*,13.11,33,0,26.15,8.63,3/6,WIN,W
D C Thomas*,Devon Thomas,12/11/1989,2009-,12,8,51,0,31,8.50,0,0,-,-,,WIN,W
O R Thomas*,Oshane Thomas,18/02/1997,2018-,21,7,9,0,8,2.25,21,1,30.38,9.38,5/28,WIN,W
G C Tonge,Gavin Tonge,13/01/1983,2009-2009,1,0,0,0,0*,0.00,1,0,25.00,6.25,1/25,WIN,W
H R Walsh*,Hayden Walsh,23/04/1992,2019-,31,10,36,0,12,9.00,25,0,28.88,8.11,3/23,WIN,W
C A K Walton,Chadwick Walton,03/07/1985,2014-2018,19,17,225,0,40*,13.24,0,0,-,-,,WIN,W
K O K Williams,Kesrick Williams,17/01/1990,2016-2020,26,7,19,0,13,6.33,41,1,19.63,8.77,4/28,WIN,W
Total Players = 100,,,,,,,,,,,,,,,WIN,W
