Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
S Samarawickrama*,Sadeera Samarawickrama,30/08/1995,2017-,19,18,310,0,61,19.38,0,0,-,-,,SRL,W
P A D L R Sandakan,Lakshan Sandakan,10/06/1991,2017-2021,20,7,23,0,10*,7.67,23,1,24.22,7.27,4/23,SRL,W
K C Sangakkara,Kumar Sangakkara,27/10/1977,2006-2014,56,53,1382,0,78*,31.41,0,0,-,-,,SRL,W
J R M V B Sanjaya,Vikum Sanjaya,10/02/1992,2017-2017,8,5,20,0,6*,6.67,9,0,27.78,8.67,2/20,SRL,W
S M S M Senanayake,Sachithra Senanayake,09/02/1985,2012-2016,24,12,56,0,17*,9.33,25,1,21.96,6.78,4/46,SRL,W
D Shanaka*,Dasun Shanaka,09/09/1991,2015-,102,94,1456,0,74,19.68,33,0,21.79,8.26,3/16,SRL,W
L P C Silva,Chamara Silva,14/12/1979,2006-2011,16,15,175,0,38*,13.46,1,0,15.00,5.00,1/4,SRL,W
T A M Siriwardana,Milinda Siriwardana,04/12/1985,2015-2017,22,19,275,0,42*,17.19,8,0,25.75,8.96,2/17,SRL,W
W U Tharanga,Upul Tharanga,02/02/1985,2006-2018,26,26,407,0,47*,16.28,0,0,-,-,,SRL,W
M M Theekshana*,Maheesh Theekshana,01/08/2000,2021-,60,26,66,0,14*,3.88,58,0,26.57,6.88,3/17,SRL,W
H D R L Thirimanne,Lahiru Thirimanne,08/09/1989,2012-2016,26,20,291,0,44*,16.17,0,0,-,-,,SRL,W
I D N Thushara*,Nuwan Thushara,06/08/1994,2022-,18,7,9,0,6*,4.50,26,3,16.73,7.65,5/20,SRL,W
T Thushara,Thilan Thushara,01/03/1981,2008-2010,6,2,4,0,3*,2.00,7,0,25.57,8.14,2/37,SRL,W
I Udana,Isuru Udana,17/02/1988,2009-2021,35,25,256,0,84,18.29,27,0,33.89,8.70,3/11,SRL,W
M L Udawatte,Mahela Udawatte,19/07/1986,2008-2017,8,8,96,0,25*,12.00,0,0,-,-,,SRL,W
W P U J C Vaas,Chaminda Vaas,21/01/1974,2006-2007,6,2,33,0,21*,33.00,6,0,21.33,5.82,2/14,SRL,W
J D F Vandersay*,Jeffrey Vandersay,05/02/1990,2015-2022,14,7,20,0,8,20.00,7,0,56.43,8.01,2/26,SRL,W
Vijayakanth Viyaskanth*,Vijayakanth Viyaskanth,05/12/2001,2023-,1,1,13,0,13,0.00,1,0,28.00,7.00,1/28,SRL,W
K D K Vithanage,Kithuruwan Vithanage,26/02/1991,2014-2016,3,3,40,0,38*,13.33,0,0,-,-,,SRL,W
Wanindu Hasaranga*,Wanindu Hasaranga de Silva,29/07/1997,2019-,79,67,712,0,71*,13.43,131,4,15.41,6.99,4/9,SRL,W
K Weeraratne,Kaushalya Weeraratne,29/01/1981,2008-2009,5,5,49,0,20,16.33,4,1,31.50,8.40,4/19,SRL,W
U W M B C A Welegedara,Chanaka Welegedara,20/03/1981,2010-2010,2,1,2,0,2,0.00,2,0,30.50,10.17,1/21,SRL,W
D N Wellalage*,Dunith Wellalage,09/01/2003,2024-2024,4,2,12,0,11,12.00,6,0,15.17,5.87,3/9,SRL,W
M R G Wijekoon,Gayan Wijekoon,21/12/1976,2007-2007,3,2,1,0,1,1.00,2,0,50.50,9.18,1/12,SRL,W
C Wirkramasinghe*,Chamindu Wirkramasinghe,06/09/2002,2024-,3,3,14,0,6,0.00,1,0,55.00,7.86,1/17,SRL,W
Total Players = 109,,,,,,,,,,,,,,,SRL,W
