Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
M D K Perera,Dilruwan Perera,22/07/1982,2007-2018,13,12,152,0,30*,12.67,13,0,31.46,5.38,3/48,SRL,O
M D K J Perera*,Kusal Perera,17/08/1990,2013-,116,111,3237,6,135*,30.54,0,0,-,-,,SRL,O
N L T C Perera,Thisara Perera,03/04/1989,2009-2021,166,133,2338,1,140*,19.98,175,9,32.80,5.86,6/44,SRL,O
P A R P Perera,Priyamal Perera,02/05/1995,2019-2019,2,2,33,0,33*,16.50,0,0,-,-,,SRL,O
P D R Perera,Ruchira Perera,27/10/1976,1999-2007,19,7,8,0,4,1.60,19,0,43.16,5.54,3/23,SRL,O
S A Perera,Suresh Perera,16/02/1978,1998-2001,20,13,195,0,56,17.73,13,0,40.15,5.41,2/25,SRL,O
H  S Pieris,Mevan Pieris,16/02/1946,1975-1975,3,3,19,0,16*,9.50,2,0,67.50,6.14,2/68,SRL,O
N Pradeep,Nuwan Pradeep,19/10/1986,2012-2022,49,25,35,0,7*,4.38,63,2,37.13,5.98,4/31,SRL,O
K T G D Prasad,Dhammika Prasad,30/05/1983,2006-2015,24,12,129,0,31,21.50,32,0,30.50,5.77,3/17,SRL,O
S Prasanna,Seekkuge Prasanna,27/06/1985,2011-2019,40,37,421,0,95*,12.38,32,0,55.22,5.45,3/32,SRL,O
S M A Priyanjan,Ashan Priyanjan,14/08/1989,2013-2015,23,20,420,0,74*,23.33,5,0,46.60,5.28,2/11,SRL,O
K R Pushpakumara,Ravindra Pushpakumara,21/07/1975,1994-1999,31,9,36,0,14,9.00,24,0,49.21,4.96,3/25,SRL,O
M Pushpakumara,Muthumudalige Pushpakumara,26/09/1981,2009-2010,3,1,7,0,7,0.00,0,0,-,4.20,0/21,SRL,O
P M Pushpakumara,Malinda Pushpakumara,24/03/1987,2017-2017,2,2,11,0,8*,5.50,1,0,105.00,5.53,1/40,SRL,O
P B B Rajapaksa*,Bhanuka Rajapaksa,24/10/1991,2021-2021,5,5,89,0,65*,17.80,0,0,-,-,,SRL,O
K Rajitha*,Kasun Rajitha,01/06/1993,2018-,34,19,117,0,33*,9.75,43,2,36.12,6.10,4/50,SRL,O
C P H Ramanayake,Champaka Ramanayake,08/01/1965,1986-1995,62,35,210,0,26*,10.00,68,1,30.13,4.29,4/17,SRL,O
A N Ranasinghe,Anura Ranasinghe,13/10/1956,1975-1982,9,8,153,0,51*,21.86,2,0,140.50,5.20,1/21,SRL,O
S K Ranasinghe,Keerhi Ranasinghe,04/07/1962,1986-1986,4,3,55,0,41*,18.33,3,0,32.00,4.57,1/28,SRL,O
A Ranatunga,Arjuna Ranatunga,01/12/1963,1982-1999,269,255,7456,4,131,35.85,79,1,47.56,4.79,4/14,SRL,O
D Ranatunga,Dammika Ranatunga,12/10/1962,1990-1990,4,4,49,0,25*,12.25,0,0,-,-,,SRL,O
N Ranatunga,Nishantha Ranatunga,22/01/1966,1993-1993,2,1,0,0,0*,0.00,1,0,82.00,4.82,1/33,SRL,O
S Ranatunga,Sanjeeva Ranatunga,25/04/1969,1994-1996,13,11,253,0,70*,23.00,0,0,-,-,,SRL,O
S Randiv,Suraj Randiv,30/01/1985,2009-2016,31,18,280,0,56*,17.50,36,1,33.72,5.07,5/42,SRL,O
N L K Ratnayake,Nilantha Ratnayake,22/11/1968,1989-1990,2,0,0,0,0*,0.00,2,0,49.00,5.82,1/39,SRL,O
R J Ratnayake,Rumesh Ratnayake,02/01/1964,1982-1993,70,55,612,0,33,16.54,75,2,36.16,4.55,5/32,SRL,O
J R Ratnayeke,Ravi Ratnayeke,02/05/1960,1982-1990,78,69,824,0,50*,14.98,86,2,33.33,4.81,4/23,SRL,O
