Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
R R Powar,Ramesh Powar,20/05/1978,2004-2007,31,19,163,0,54*,11.64,34,0,35.03,4.65,3/24,IND,O
M M Prabhakar,Manoj Prabhakar,15/04/1963,1984-1996,130,98,1858,2,106*,24.13,157,6,28.88,4.28,5/33,IND,O
B K V Prasad,Venkatesh Prasad,05/08/1969,1994-2001,161,63,221,0,19*,6.91,196,4,32.31,4.67,5/27,IND,O
M S K Prasad,Mannava Prasad,24/04/1975,1998-1999,17,11,131,0,63*,14.56,0,0,-,-,,IND,O
M Prasidh Krishna*,Prasidh Krishna,19/02/1996,2021-,17,7,2,0,2,1.00,29,2,25.59,5.61,4/12,IND,O
C A Pujara*,Cheteshwar Pujara,25/01/1988,2013-2014,5,5,51,0,27*,10.20,0,0,-,-,,IND,O
A M Rahane*,Ajinkya Rahane,06/06/1988,2011-2018,90,87,2962,3,111*,35.26,0,0,-,-,,IND,O
K L Rahul*,KL Rahul,18/04/1992,2016-,85,79,3043,7,112*,49.08,0,0,-,-,,IND,O
S K Raina,Suresh Raina,27/11/1986,2005-2018,226,194,5615,5,116,35.31,36,0,50.31,5.11,3/34,IND,O
L S Rajput,Lalchand Rajput,18/12/1961,1985-1987,4,4,9,0,8*,3.00,0,0,-,6.00,0/18,IND,O
S L V Raju,Venkatapathy Raju,09/07/1969,1990-1996,53,16,32,0,8*,4.00,63,2,31.97,4.36,4/46,IND,O
W V Raman,Woorkeri Raman,23/05/1965,1988-1996,27,27,617,1,114*,23.73,2,0,85.00,6.30,1/23,IND,O
S Ramesh,Sadagopan Ramesh,13/10/1975,1999-1999,24,24,646,0,82*,28.09,1,0,38.00,6.33,1/23,IND,O
H P Rana*,Harshit Rana,22/12/2001,2025-2025,5,1,13,0,13*,13.00,10,0,20.70,5.70,3/31,IND,O
N Rana,Nitish Rana,27/12/1993,2021-2021,1,1,7,0,7*,7.00,0,0,-,3.33,0/10,IND,O
Randhir Singh,Randhir Singh,16/08/1957,1981-1983,2,0,0,0,0*,0.00,1,0,48.00,4.00,1/30,IND,O
V S Rathore,Vikram Rathore,26/03/1969,1996-1997,7,7,193,0,54*,27.57,0,0,-,-,,IND,O
A Ratra,Ajay Ratra,13/12/1981,2002-2002,12,8,90,0,30*,12.86,0,0,-,-,,IND,O
S S Raul,Sanjay Raul,06/10/1976,1998-1998,2,2,8,0,8*,4.00,1,0,27.00,4.50,1/13,IND,O
R Ravi Bishnoi*,Ravi Bishnoi,05/09/2000,2022-,1,1,4,0,4,0.00,1,0,69.00,8.63,1/69,IND,O
A T Rayudu,Ambati Rayudu,23/09/1985,2013-2019,55,50,1694,3,124,47.06,3,0,41.33,6.15,1/5,IND,O
V Razdan,Vivek Razdan,25/08/1969,1989-1990,3,3,23,0,18*,11.50,1,0,77.00,5.50,1/37,IND,O
