Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
R R Pant*,Rishabh Pant,04/10/1997,2017-,76,66,1209,0,65,23.25,0,0,-,-,,IND,W
R Parag*,Riyan  Parag,10/11/2001,2024-,9,6,106,0,34*,17.67,4,0,20.75,6.73,3/5,IND,W
Parvez Rasool,Parvez Rasool,13/02/1989,2017-2017,1,1,5,0,5*,5.00,1,0,32.00,8.00,1/32,IND,W
A R Patel*,Axar Patel,20/01/1994,2015-,71,44,535,0,65*,18.45,71,0,22.13,7.30,3/9,IND,W
H V Patel*,Harshal Patel,23/11/1990,2021-,25,10,77,0,18*,12.83,29,1,26.55,9.18,4/25,IND,W
M M Patel,Munaf Patel,12/07/1983,2011-2011,3,1,0,0,0*,0.00,4,0,21.50,8.60,2/25,IND,W
P A Patel,Parthiv Patel,09/03/1985,2011-2011,2,2,36,0,26*,18.00,0,0,-,-,,IND,W
I K Pathan,Irfan Pathan,27/10/1984,2006-2012,24,14,172,0,33,24.57,28,0,22.07,8.03,3/16,IND,W
Y K Pathan,Yusuf Pathan,17/11/1982,2007-2012,22,18,236,0,37,18.15,13,0,33.69,8.62,2/22,IND,W
M Prasidh Krishna*,Prasidh Krishna,19/02/1996,2023-,5,0,0,0,0*,0.00,8,0,27.50,11.00,3/41,IND,W
A M Rahane*,Ajinkya Rahane,06/06/1988,2011-2016,20,20,375,0,61*,20.83,0,0,-,-,,IND,W
K L Rahul*,KL Rahul,18/04/1992,2016-,72,68,2265,2,110,37.75,0,0,-,-,,IND,W
S K Raina,Suresh Raina,27/11/1986,2006-2018,78,66,1605,1,101*,29.18,13,0,34.00,7.60,2/6,IND,W
Ramandeep Singh*,Ramandeep Singh,13/04/1997,2024-,2,1,15,0,15*,15.00,1,0,42.00,12.60,1/42,IND,W
H P Rana*,Harshit Rana,22/12/2001,2025-2025,1,0,0,0,0*,0.00,3,0,11.00,8.25,3/33,IND,W
N Rana,Nitish Rana,27/12/1993,2021-2021,2,2,15,0,9*,7.50,0,0,-,-,,IND,W
R Ravi Bishnoi*,Ravi Bishnoi,05/09/2000,2022-,42,13,55,0,9,7.86,61,2,19.38,7.36,4/13,IND,W
A T Rayudu,Ambati Rayudu,23/09/1985,2014-2016,6,5,42,0,20*,10.50,0,0,-,-,,IND,W
N K Reddy*,Nitish Reddy,26/05/2003,2024-,4,3,90,0,74*,45.00,3,0,23.67,7.89,2/23,IND,W
Rinku Singh*,Rinku Singh,12/10/1997,2023-,33,24,546,0,69,42.00,2,0,1.50,3.00,2/3,IND,W
B S Sai Sudharsan*,Sai Sudharsan,15/10/2001,2024-,1,0,0,0,0*,0.00,0,0,-,-,,IND,W
