Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
B A Carse*,Brydon Carse,31/07/1995,2021-,21,14,210,0,32*,21.00,24,1,39.46,6.50,5/61,ENG,O
G Chapple,Glen Chapple,23/01/1974,2006-2006,1,1,14,0,14*,14.00,0,0,-,3.50,0/14,ENG,O
R Clarke,Rikki Clarke,29/09/1981,2003-2006,20,13,144,0,39*,11.08,11,0,37.73,5.30,2/28,ENG,O
D B Close,Brian Close,24/02/1931,1972-1972,3,3,49,0,43*,16.33,0,0,-,7.00,0/21,ENG,O
P D Collingwood,Paul Collingwood,26/05/1976,2001-2011,197,181,5092,5,120,35.36,111,4,38.68,4.97,6/31,ENG,O
A N Cook,Alastair Cook,25/12/1984,2006-2014,92,92,3204,5,137*,36.41,0,0,-,-,,ENG,O
G Cook,Geoffrey Cook,09/10/1951,1981-1983,6,6,106,0,32*,17.67,0,0,-,-,,ENG,O
N G B Cook,Nicholas Cook,17/06/1956,1984-1989,3,0,0,0,0*,0.00,5,0,19.00,3.96,2/18,ENG,O
G A Cope,Geoffrey Cope,23/02/1947,1977-1978,2,1,1,0,1,0.00,2,0,17.50,1.88,1/16,ENG,O
D G Cork,Dominic Cork,07/08/1971,1992-2002,32,21,180,0,31,10.00,41,0,33.37,4.63,3/27,ENG,O
N G Cowans,Norman Cowans,17/04/1961,1983-1985,23,8,13,0,4,2.60,23,0,39.70,4.27,3/44,ENG,O
C S Cowdrey,Christopher Cowdrey,20/10/1957,1985-1985,3,3,51,0,46,25.50,2,0,27.50,6.35,1/3,ENG,O
M C Cowdrey,Colin Cowdrey,24/12/1932,1971-1971,1,1,1,0,1*,1.00,0,0,-,-,,ENG,O
J M Cox*,Jordan Cox,21/10/2000,2024-2024,3,3,22,0,17*,7.33,0,0,-,-,,ENG,O
J P Crawley,John Crawley,21/09/1971,1994-1999,13,12,235,0,73*,21.36,0,0,-,-,,ENG,O
Z Crawley*,Zak Crawley,03/02/1998,2021-,8,8,199,0,58,28.43,0,0,-,-,,ENG,O
R D B Croft,Robert Croft,25/05/1970,1996-2001,50,36,345,0,32*,14.38,45,0,38.73,4.24,3/51,ENG,O
S M Curran*,Sam Curran,03/06/1998,2018-,35,27,597,0,95,24.88,33,2,41.70,6.23,5/48,ENG,O
T K Curran,Tom Curran,12/03/1995,2017-2021,28,17,303,0,47,37.88,34,3,37.94,5.92,5/35,ENG,O
J W M Dalrymple,James Dalrymple,21/01/1981,2006-2007,27,26,487,0,67*,19.48,14,0,47.57,4.76,2/5,ENG,O
S M Davies,Steven Davies,17/06/1986,2009-2011,8,8,244,0,87*,30.50,0,0,-,-,,ENG,O
L A Dawson*,Liam Dawson,01/03/1990,2016-,6,5,63,0,20*,12.60,5,0,56.80,6.45,2/70,ENG,O
P A J De Freitas,Phillip De Freitas,18/02/1966,1987-1997,103,66,690,0,67*,16.05,115,1,32.83,3.97,4/35,ENG,O
J L Denly,Joe Denly,16/03/1986,2009-2020,16,13,446,0,87*,34.31,1,0,101.00,5.94,1/24,ENG,O
M H Denness,Michael Denness,01/12/1940,1973-1975,12,11,264,0,66*,29.33,0,0,-,-,,ENG,O
J W Dernbach,Jade Dernbach,03/03/1986,2011-2013,24,8,19,0,5*,2.71,31,1,42.19,6.36,4/45,ENG,O
G R Dilley,Graham Dilley,18/05/1959,1979-1988,36,18,114,0,31,11.40,48,3,26.90,3.79,4/23,ENG,O
B L D'Oliveira,Basil D'Oliveira,04/10/1931,1971-1972,4,4,30,0,17*,10.00,3,0,46.67,4.12,1/19,ENG,O
P R Downton,Paul Downton,04/04/1957,1977-1988,28,20,242,0,44,16.13,0,0,-,-,,ENG,O
B M Duckett*,Ben Duckett,17/10/1994,2016-,22,22,1058,3,165*,50.38,0,0,-,-,,ENG,O
M A Ealham,Mark Ealham,27/08/1969,1996-2001,64,45,716,0,45*,17.46,67,3,32.79,4.08,5/15,ENG,O
