Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
A Khan,Amjad Khan,14/10/1980,2009-2009,1,1,2,0,2*,2.00,2,0,17.00,8.50,2/34,ENG,W
C Kieswetter,Craig Kieswetter,28/11/1987,2010-2012,25,25,526,0,63*,21.92,0,0,-,-,,ENG,W
R J Kirtley,Robert Kirtley,10/11/1975,2007-2007,1,1,2,0,2,0.00,0,0,-,17.00,0/17,ENG,W
J Lewis,Johnathan Lewis,26/08/1975,2005-2007,2,2,1,0,1*,1.00,4,1,13.75,7.86,4/24,ENG,W
L S Livingstone*,Liam Livingstone,04/08/1993,2017-,60,47,955,1,103*,25.13,33,0,25.39,8.73,3/17,ENG,W
M J Lumb,Michael Lumb,12/02/1980,2010-2014,27,27,552,0,63*,21.23,0,0,-,-,,ENG,W
D L Maddy,Darren Maddy,23/05/1974,2007-2007,4,4,113,0,50*,28.25,3,0,8.67,8.67,2/6,ENG,W
S Mahmood*,Saqib Mahmood,25/02/1997,2019-,19,9,35,0,12*,7.00,21,1,27.90,9.30,4/34,ENG,W
S I Mahmood,Sajid Mahmood,21/12/1981,2006-2009,4,2,1,0,1,0.00,3,0,51.67,11.07,1/31,ENG,W
D J Malan*,Dawid Malan,03/09/1987,2017-,62,60,1892,1,103,36.38,1,0,27.00,13.50,1/27,ENG,W
A D Mascarenhas,Dimitri Mascarenhas,30/10/1977,2007-2009,14,13,123,0,31*,15.38,12,0,25.75,7.36,3/18,ENG,W
S C Meaker,Stuart Meaker,21/01/1989,2012-2012,2,0,0,0,0*,0.00,2,0,35.00,8.94,1/28,ENG,W
T S Mills*,Tymal Mills,12/08/1992,2016-,15,5,8,0,7*,2.67,14,0,32.93,9.10,3/27,ENG,W
Moeen Ali*,Moeen Ali,18/06/1987,2014-,92,75,1229,0,72,21.19,51,0,27.14,8.31,3/24,ENG,W
E J G Morgan,Eoin Morgan,10/09/1986,2009-2022,115,106,2458,0,91*,28.58,0,0,-,-,,ENG,W
D R Mousley*,Dan Mousley,08/07/2001,2024-2024,4,1,8,0,8*,8.00,2,0,41.00,9.11,2/29,ENG,W
P Mustard,Philip Mustard,08/10/1982,2008-2008,2,2,60,0,40*,30.00,0,0,-,-,,ENG,W
P A Nixon,Paul Nixon,21/10/1970,2007-2007,1,1,31,0,31,0.00,0,0,-,-,,ENG,W
J Overton*,Jamie Overton,10/04/1994,2024-,12,8,50,0,19*,8.33,11,0,16.91,8.21,3/20,ENG,W
M S Panesar,Monty Panesar,25/04/1982,2007-2007,1,1,1,0,1*,1.00,2,0,20.00,10.00,2/40,ENG,W
M W Parkinson*,Matt Parkinson,24/10/1996,2019-,6,4,5,0,5*,1.25,7,1,28.29,9.90,4/47,ENG,W
S D Parry,Stephen Parry,12/01/1986,2014-2015,5,1,1,0,1*,1.00,3,0,46.00,8.63,2/33,ENG,W
S R Patel,Samit Patel,30/11/1984,2011-2013,18,14,189,0,67*,15.75,7,0,45.86,7.64,2/6,ENG,W
K P Pietersen,Kevin Pietersen,27/06/1980,2005-2013,37,36,1176,0,79*,37.94,1,0,53.00,10.60,1/27,ENG,W
L E Plunkett,Liam Plunkett,06/04/1985,2006-2019,22,11,42,0,18*,6.00,25,0,25.08,7.90,3/21,ENG,W
M J Prior,Matthew Prior,26/02/1982,2007-2010,10,8,127,0,32*,21.17,0,0,-,-,,ENG,W
W B Rankin,Boyd Rankin,05/07/1984,2013-2013,2,0,0,0,0*,0.00,1,0,24.00,6.00,1/24,ENG,W
A U Rashid*,Adil Rashid,17/02/1988,2009-,124,41,155,0,22*,7.38,131,3,24.35,7.36,4/2,ENG,W
C M W Read,Chris Read,10/08/1978,2006-2006,1,1,13,0,13*,13.00,0,0,-,-,,ENG,W
Rehan Ahmed*,Rehan Ahmed,13/08/2004,2023-,10,6,38,0,11*,9.50,12,0,25.00,9.68,3/39,ENG,W
J E Root*,Joe Root,30/12/1990,2012-2019,32,30,893,0,90,35.72,6,0,23.17,9.93,2/9,ENG,W
J J Roy*,Jason Roy,21/07/1990,2014-,64,64,1522,0,78*,24.16,0,0,-,-,,ENG,W
P D Salt*,Phil Salt,28/08/1996,2022-,43,40,1193,3,119*,34.09,0,0,-,-,,ENG,W
C P Schofield,Christopher Schofield,06/10/1978,2007-2007,4,4,24,0,9,24.00,4,0,23.00,7.17,2/15,ENG,W
O A Shah,Owais Shah,22/10/1978,2007-2009,17,15,347,0,55,24.79,0,0,-,-,,ENG,W
R J Sidebottom,Ryan Sidebottom,15/01/1978,2007-2010,18,1,5,0,5,0.00,23,0,19.00,7.14,3/16,ENG,W
J L Smith*,Jamie Smith,12/07/2000,2025-2025,2,2,28,0,22*,14.00,0,0,-,-,,ENG,W
J N Snape,Jeremy Snape,27/04/1973,2007-2007,1,1,7,0,7*,7.00,0,0,-,12.00,0/12,ENG,W
V S Solanki,Vikram Solanki,01/04/1976,2005-2007,3,3,76,0,43*,25.33,0,0,-,-,,ENG,W
B A Stokes*,Ben Stokes,04/06/1991,2011-,43,36,585,0,52,21.67,26,0,32.92,8.39,3/26,ENG,W
O P Stone*,Olly Stone,09/10/1993,2022-,1,1,0,0,0*,0.00,0,0,-,9.00,0/36,ENG,W
A J Strauss,Andrew Strauss,02/03/1977,2005-2009,4,4,73,0,33*,18.25,0,0,-,-,,ENG,W
G P Swann,Graeme Swann,24/03/1979,2008-2012,39,16,104,0,34*,20.80,51,0,16.84,6.36,3/13,ENG,W
R J W Topley*,Reece Topley,21/02/1994,2015-,35,10,17,0,9*,8.50,33,0,29.64,8.31,3/22,ENG,W
J C Tredwell,James Tredwell,27/02/1982,2012-2014,17,6,32,0,22*,10.67,7,0,59.43,7.87,1/16,ENG,W
C T Tremlett,Christopher Tremlett,02/09/1981,2007-2007,1,0,0,0,0*,0.00,2,0,22.50,11.25,2/45,ENG,W
M E Trescothick,Marcus Trescothick,25/12/1975,2005-2006,3,3,166,0,72*,55.33,0,0,-,-,,ENG,W
I J L Trott,Jonathan Trott,22/04/1981,2007-2010,7,7,138,0,51*,23.00,0,0,-,-,,ENG,W
J A Turner*,John Turner,10/04/2001,2024-2024,2,0,0,0,0*,0.00,1,0,64.00,10.67,1/42,ENG,W
M P Vaughan,Michael Vaughan,29/10/1974,2005-2007,2,2,27,0,27*,13.50,0,0,-,-,,ENG,W
J M Vince*,James Vince,14/03/1991,2015-2022,17,17,463,0,59*,27.24,0,0,-,-,,ENG,W
D J Willey*,David Willey,28/02/1990,2015-,43,26,226,0,33,15.07,51,1,23.14,8.18,4/7,ENG,W
C R Woakes*,Chris Woakes,02/03/1989,2011-,33,17,147,0,37*,16.33,31,0,26.52,8.07,3/4,ENG,W
L Wood*,Luke Wood,02/08/1995,2022-,5,1,3,0,3*,3.00,8,0,21.75,9.67,3/24,ENG,W
M A Wood*,Mark Wood,11/01/1990,2015-,38,7,27,0,10,13.50,54,0,20.24,8.45,3/9,ENG,W
L J Wright,Luke Wright,07/03/1985,2007-2014,51,44,759,0,99,18.98,18,0,25.83,8.45,2/24,ENG,W
M H Yardy,Michael Yardy,27/11/1980,2006-2011,14,8,96,0,35,32.00,11,0,27.18,6.50,2/19,ENG,W
Total Players = 107,,,,,,,,,,,,,,,ENG,W
