Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
S M Pollock,Shaun Pollock,16/07/1973,1996-2008,294,196,3193,0,90*,25.34,387,17,24.31,3.66,6/35,SAF,O
N Pothas,Nic Pothas,18/11/1973,2000-2000,3,1,24,0,24*,24.00,0,0,-,-,,SAF,O
D Pretorius*,Dwaine Pretorius,29/03/1989,2016-,27,13,192,0,50*,16.00,35,1,27.06,4.97,4/36,SAF,O
A G Prince,Ashwell Prince,28/05/1977,2002-2007,49,38,940,0,89,34.81,0,0,-,1.50,0/3,SAF,O
M W Pringle,Meyrick Pringle,22/06/1966,1992-1994,17,8,48,0,13,9.60,22,1,27.45,4.17,4/11,SAF,O
A G Puttick,Andrew Puttick,11/12/1980,2005-2005,1,1,0,0,0*,0.00,0,0,-,-,,SAF,O
K Rabada*,Kagiso Rabada,25/05/1995,2015-,106,45,401,0,31,14.85,168,8,27.46,5.09,6/16,SAF,O
J N Rhodes,Jonty Rhodes,26/07/1969,1992-2003,245,220,5935,2,121*,35.12,0,0,-,1.71,0/1,SAF,O
C E B Rice,Clive Rice,23/07/1949,1991-1991,3,2,26,0,14*,13.00,2,0,57.00,4.96,1/46,SAF,O
D J Richardson,David Richardson,16/09/1959,1991-1998,122,77,868,0,53*,19.73,0,0,-,-,,SAF,O
R D Rickelton*,Ryan Rickelton,11/07/1996,2023-,9,9,335,1,103*,37.22,0,0,-,-,,SAF,O
M J R Rindel,Michael Rindel,09/02/1963,1994-1999,22,22,575,1,106*,27.38,6,0,40.33,5.38,2/15,SAF,O
R R Rossouw*,Rilee Rossouw,09/10/1989,2014-2016,36,35,1239,3,132*,38.72,1,0,44.00,5.87,1/17,SAF,O
J A Rudolph,Jacques Rudolph,04/05/1981,2003-2006,43,37,1157,0,81*,37.32,0,0,-,6.50,0/26,SAF,O
D B Rundle,David Rundle,25/09/1965,1994-1994,2,2,6,0,6*,3.00,5,1,19.00,5.94,4/42,SAF,O
M W Rushmere,Mark Rushmere,07/01/1965,1992-1992,4,4,78,0,35*,19.50,0,0,-,-,,SAF,O
B N Schultz,Brett Schultz,26/08/1970,1992-1992,1,0,0,0,0*,0.00,1,0,35.00,3.89,1/35,SAF,O
T Shamsi*,Tabraiz Shamsi,18/02/1990,2016-,55,15,39,0,11,9.75,73,4,34.38,5.58,5/49,SAF,O
