Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
D R Martyn,Damien Martyn,21/10/1971,2005-2006,4,4,120,0,96*,30.00,0,0,-,-,,AUS,W
G J Maxwell*,Glenn Maxwell,14/10/1988,2012-,116,106,2664,5,145,29.93,43,0,30.95,8.01,3/10,AUS,W
B R McDermott*,Ben McDermott,12/12/1994,2018-,25,23,342,0,54*,18.00,0,0,-,-,,AUS,W
G D McGrath,Glenn McGrath,09/02/1970,2005-2005,2,1,5,0,5*,5.00,5,0,15.80,9.88,3/31,AUS,W
C J McKay,Clinton McKay,22/02/1983,2010-2013,6,4,19,0,7*,9.50,4,0,45.75,8.07,2/24,AUS,W
R P Meredith*,Riley Meredith,21/06/1996,2021-,6,0,0,0,0*,0.00,9,0,24.67,9.72,3/48,AUS,W
J M Muirhead,James Muirhead,30/07/1993,2014-2014,5,2,4,0,3*,4.00,6,0,18.17,7.27,2/13,AUS,W
D P Nannes,Dirk Nannes,16/05/1976,2009-2010,15,4,16,0,12,16.00,27,1,14.93,7.60,4/18,AUS,W
P M Nevill,Peter Nevill,13/10/1985,2016-2016,9,5,25,0,10,25.00,0,0,-,-,,AUS,W
A A Noffke,Ashley Noffke,30/04/1977,2007-2008,2,1,0,0,0*,0.00,4,0,10.25,5.47,3/18,AUS,W
M J North,Marcus North,28/07/1979,2009-2009,1,1,20,0,20*,20.00,0,0,-,-,,AUS,W
S N J O'Keefe,Steve O'Keefe,09/12/1984,2010-2011,7,5,32,0,22*,6.40,6,0,24.83,7.84,3/29,AUS,W
T D Paine,Tim Paine,08/12/1984,2009-2017,10,7,47,0,21*,7.83,0,0,-,-,,AUS,W
J L Pattinson,James Pattinson,03/05/1990,2011-2012,4,2,5,0,5,0.00,3,0,34.67,8.00,2/17,AUS,W
J R Philippe*,Josh Philippe,01/06/1997,2021-,12,12,150,0,45*,12.50,0,0,-,-,,AUS,W
L A Pommersbach,Luke Pommersbach,28/09/1984,2007-2007,1,1,15,0,15*,15.00,0,0,-,-,,AUS,W
R T Ponting,Ricky Ponting,19/12/1974,2005-2009,17,16,401,0,98,28.64,0,0,-,-,,AUS,W
N J Reardon,Nathan Reardon,08/11/1984,2014-2014,2,1,4,0,4*,4.00,0,0,-,-,,AUS,W
J A Richardson*,Jhye Richardson,20/09/1996,2017-,18,8,45,0,11*,15.00,19,0,29.26,8.42,3/26,AUS,W
